	IGHJ1	IGHJ2	IGHJ3	IGHJ4	IGHJ5	IGHJ6
IGHV1-18	3	4	49	283	100	139
IGHV1-2	4	3	19	66	26	72
IGHV1-24	2	2	7	80	19	31
IGHV1-3	0	6	19	99	37	63
IGHV1-45	1	0	0	0	0	0
IGHV1-46	4	1	20	109	36	61
IGHV1-58	0	1	7	22	4	15
IGHV1-69	3	7	54	193	73	181
IGHV1-69-2	0	0	0	0	0	0
IGHV1-8	1	2	20	91	34	89
IGHV2-26	0	1	3	24	8	11
IGHV2-5	1	3	13	100	25	17
IGHV2-70	0	0	6	23	3	18
IGHV3-11	3	4	43	121	26	86
IGHV3-13	0	5	16	12	5	31
IGHV3-15	5	1	33	177	20	105
IGHV3-20	1	1	6	13	5	15
IGHV3-21	4	3	59	203	40	79
IGHV3-23	33	9	166	993	171	347
IGHV3-30	12	7	48	314	51	188
IGHV3-30-3	5	1	24	186	27	113
IGHV3-33	4	6	50	281	42	172
IGHV3-43	1	0	4	16	0	7
IGHV3-47	0	0	0	0	0	0
IGHV3-48	3	3	15	65	19	37
IGHV3-49	0	0	6	22	8	18
IGHV3-52	0	0	0	0	0	0
IGHV3-53	0	4	10	25	3	21
IGHV3-64	1	0	6	18	2	16
IGHV3-66	2	4	10	42	5	26
IGHV3-7	0	0	18	77	10	28
IGHV3-71	0	0	0	0	0	0
IGHV3-72	1	1	4	16	0	5
IGHV3-73	0	0	4	11	4	17
IGHV3-74	1	1	16	51	19	26
IGHV3-9	1	4	19	48	3	22
IGHV4-28	0	0	0	1	0	1
IGHV4-30-2	0	0	7	27	15	12
IGHV4-30-4	0	1	6	37	18	12
IGHV4-31	6	4	28	169	70	81
IGHV4-34	8	2	25	186	66	102
IGHV4-38-2	0	0	0	0	0	0
IGHV4-39	7	9	33	228	101	102
IGHV4-4	0	0	14	54	21	23
IGHV4-55	0	0	0	0	0	0
IGHV4-59	4	9	53	201	99	107
IGHV4-61	2	0	4	28	12	18
IGHV5-10-1	0	0	3	14	3	25
IGHV5-51	0	2	38	99	28	80
IGHV6-1	0	0	5	24	16	29
IGHV7-4-1	0	0	0	1	2	2
